"","x"
"11"," 오늘은 본격적인 여름 더위의 시작을 알리는 절기 소서인데요 서쪽 지방은 이맘때 수준의 다소 더운 날씨가 이어지고 있지만 동풍이 부는 동쪽 지방은 무척 선선합니다 서늘하고 깨끗한 동풍이 불어 들면서 심한 더위도 없고 공기도 깨끗해서 나들이 즐기기 더없이 좋은데요 현재 내륙 지방은 대체로 맑은 하늘 펼쳐져 있습니다 다만 동풍의 영향으로 동해안과 제주도를 중심으로는 오후까지 비가 오락가락하겠고요 바람도 강하게 불겠습니다 휴일인 내일은 오늘과 다르게 오후 들면서 하늘이 점차 흐려지겠고요 장마전선이 차차 북상함에 따라제주도에는 오후부터 장맛비가 내리겠습니다 내일도 서쪽은 다소 덥겠지만 동쪽은 비교적 선선하겠습니다 낮 기온 서울 도 청주도 도 광주는 도까지 오르겠고 강릉은 도에 머물겠습니다 다음 주 월요일에는 영남 지방을 제외한 전국에 장맛비가 내리겠습니다 지금까지 날씨정보였습니다 시간 실시간 뉴스 생방송 보기 러시아 월드컵 기사모음 저작권자 무단전재 및 재배포 금지 "
"12"," 노웅래 의원 공연예술통합전산망 활성화를 위한 공연법 개정안 발의 아시아경제 이종길 기자 공연 시장의 흥행 성적표 공개를 의무화하는 법안이 발의됐다 예술경영지원센터는 일 더불어민주당 노웅래 의원이 공연예술통합전산망 활성화를 위한 공연법 개정안 을 대표 발의했다고 전했다 공연장 운영자 공연 기획 제작자 입장권 판매자가 특정 공연의 관람객 수와 입장권 판매액을 공연예술 통합전산망 에 공개하는 것을 의무화하는 내용이다 이행하지 않을 경우 만원 이하의 과태료를 부과하게 된다 애초 만원 이하로 논의됐으나 지난 월 관련 공청회에서 나온 공연업계의 의견을 반영해 하향 조정했다 그동안 공연계에는 년 구축한 공연예술 통합전산망이 시장 전체를 반영하지 못한다는 지적이 잇따랐다 정보 제공 주체인 기획 제작사 측이 자료 공개 여부를 자율적으로 선택할 수 있어 자료 수집에 한계가 있다는 주장이다 예술경영지원센터는 전산망을 통한 데이터 수집 비율은 전체 시장의 에 불과했다 며 전산망이 활성화된다면 공연 시장의 신뢰도 투명성 제고 및 향후 공연 시장 발전을 위한 정책과 마케팅 전략 수립에 기여할 수 있다 고 했다 이종길 기자 네이버 채널 설정하고 룰렛 당첨 확인 양낙규의 군사이야기 재미와 신기 과학을읽다 "
"13"," 서울 일 서울 가톨릭대에서 열린 국제심포지엄에서 참석자들이 기념촬영하고 있다 왼쪽부터 교황청 외무부 한국 담당 로베르토 루키니 몬시뇰 교황대사관 참사관 마르코 스프리치 몬시뇰 주한 교황대사 알프레드 수에레브 몬시뇰 교황청 외무장관 폴 갤러거 대주교 천주교 서울대교구장 염수정 추기경 한국천주교주교회의 의장 김희중 대주교 한홍순 전 주교황청 대사 가톨릭대학교 총장 원종철 신부 가톨릭대학교 제공 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"14"," 지난 월 일 스위스 여성참정권 운동을 다룬 영화 거룩한 분노 감독 페트라 볼프 가 개봉됐다 스위스는 유럽에서 가장 늦게 여성의 참정권을 인정한 나라다 년에야 비로소 스위스 여성은 남성과 동등하게 투표권을 행사할 수 있었다 거룩한 분노 는 년 스위스의 보수적인 작은 마을에서 참정권을 얻기 위해 여성들이 파업에 나서는 이야기를 그린 작품이다 우리가 원하는 건 나답게 사는 것뿐 이라며 진실된 모습을 위해 비로소 용기를 낸 그들의 찬란한 이야기가 전개된다 박자영 인턴기자 "
"15"," 신카이 마코토展 포스터 아시아경제 이종길 기자 영화 너의 이름은 을 연출한 신카이 마코토 감독의 전시가 오는 일부터 월 일까지 예술의전달 한가람미술관에서 열린다 데뷔 주년을 맞아 마련된 월드투어 전시다 데뷔작인 별의 목소리 부터 구름의 저편 약속의 장소 초속 센티미터 별을 쫓는 아이 언어의 정원 너의 이름은 등 신카이 감독의 다양한 작품 세계를 만날 수 있다 각 작품들의 원화를 비롯해 설정 자료 애니메이션 콘티 작화 컬러도감 배경 아트웍 등이다 함께 작업한 작화 감독 안도 마사시 캐릭터 디자이너 타나카 마사요시 등의 섬세한 감성도 엿볼 수 있다 전시를 기획한 웨이즈비의 임헌란 이사는 도 와이드 스크린 프로젝터 매핑 등으로 초속 센티미터 속 벚꽃나무 언어의 정원 속 비 오는 정원 너의 이름은 속 도쿄와 히다 하늘 등을 그대로 재현할 예정 이라고 했다 일본 시즈오카와 도쿄 오사카 중국 상하이 등에서 큰 인기를 모은 스케치 존 도 보다 넓은 규모로 준비하고 있다 고 했다 티켓 가격은 성인이 만 원 청소년이 만 원 어린이가 원이다 이종길 기자 네이버 채널 설정하고 룰렛 당첨 확인 양낙규의 군사이야기 재미와 신기 과학을읽다 "
"16"," 서울 영등포구 여의도 한강공원 물빛광장에서 학생들이 물놀이를 하는 모습 사진 뉴시스 이영환 기자 절기 중 열한 번째 절기인 소서 小暑 는 작은 더위 라는 뜻이 있어 본격적인 여름의 시작을 알린다 소서인 오늘 일 은 다른 절기와 달리 평년보다는 덜 무더운 날씨와 미세먼지 없는 깨끗한 하늘을 보이고 있다 이날 기상청에 따르면 소서인 오늘 전국은 동해 북부해상 고기압의 가장자리에 들어 가끔 구름이 많다 북동쪽에서 찬 공기가 유입되면서 기온분포는 평년보다 조금 낮게 나타난다 이날 낮 최고기온은 서울 도 대전 도 대구 도 전주 도 광주 도 부산 도 춘천 도 강릉 도 제주 도 울릉도 독도 도 등이다 미세먼지는 좋음 으로 나타나 하늘은 맑고 푸르지만 자외선 지수는 전 권역에서 오후 나쁨 을 보여 선글라스 착용과 자외선 차단제를 바르는 대비가 필요하다 김창성 기자 머니 페이스북 최신 웹툰이 매일 공짜 "
"17"," 서울 교황청 외무장관 폴 갤러거 대주교가 일 서울 반포동 가톨릭대에서 열린 국제심포지엄에서 강연하고 있다 가톨릭대학교 제공 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"18"," 서울 최재구 기자 일 서울 광화문 세종로공원에서 외교부와 국민외교센터 주최로 열린 국민외교 자유발언대 에서 한 시민이 발언하고 있다 외교부는 이번 행사가 국민의 의견을 직접 청취하고 정책에 반영하기 위한 광장형 대국민 소통 이벤트라고 설명했다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"19"," 서울 최재구 기자 일 서울 광화문 세종로공원에서 외교부와 국민외교센터 주최로 열린 국민외교 자유발언대 에서 한 시민이 발언하고 있다 외교부는 이번 행사가 국민의 의견을 직접 청취하고 정책에 반영하기 위한 광장형 대국민 소통 이벤트라고 설명했다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"20"," 서울 최재구 기자 일 서울 광화문 세종로공원에서 외교부와 국민외교센터 주최로 열린 국민외교 자유발언대 에서 한 시민이 발언하고 있다 외교부는 이번 행사가 국민의 의견을 직접 청취하고 정책에 반영하기 위한 광장형 대국민 소통 이벤트라고 설명했다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"21"," 서울 최재구 기자 일 서울 광화문 세종로공원에서 외교부와 국민외교센터 주최로 열린 국민외교 자유발언대 에서 한 시민이 발언하고 있다 외교부는 이번 행사가 국민의 의견을 직접 청취하고 정책에 반영하기 위한 광장형 대국민 소통 이벤트라고 설명했다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"22"," 서울 최재구 기자 맑은 하늘이 드러나며 강한 햇볕이 도심을 달군 일 서울 광화문 주한미국대사관을 경비하는 경찰들이 햇볕을 피하기 위해 우산을 쓰고 경계근무를 서고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"23"," 서울 최재구 기자 맑은 하늘이 드러나며 강한 햇볕이 도심을 달군 일 서울 광화문 주한미국대사관을 경비하는 경찰들이 햇볕을 피하기 위해 우산을 쓰고 경계근무를 서고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"24"," 서울 최재구 기자 맑은 하늘이 드러나며 강한 햇볕이 도심을 달군 일 서울 광화문 주한미국대사관을 경비하는 경찰들이 햇볕을 피하기 위해 우산을 쓰고 경계근무를 서고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"25"," 서울 최재구 기자 본격적인 더위가 시작된다는 소서 小暑 인 일 서울 광화문 광장을 부모와 함께 나들이 온 어린이들이 광장 분수대에서 물놀이를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"26"," 로봇과 물총 싸움을 제 회 신촌 물총축제 앵커 더위가 기승일 때는 물놀이 만한 것도 없죠 신촌에서는 올해 회째를 맞이한 물총축제가 한창인데요 현장에 나가있는 뉴스 캐스터 연결해보겠습니다 유해인 캐스터 캐스터 저는 지금 신촌 연세로에 나와 있습니다 오늘은 모르는 사람에게 마음껏 쏴도 괜찮은 날입니다 저도 이렇게 총을 들고 있으니까 많은 분들이 물을 쏘시는데 반격을 못하는 게 아쉬울 따름입니다 오늘 물총과 함께할 수 있는 다양한 이벤트까지 가득 준비돼 있습니다 가장 먼저 눈길을 사로잡는 건 역시 메인 이벤트인 물총대전입니다 로봇 모양으로 만들어진 주 무대를 중심으로 시민들은 로봇으로부터 신촌 영토를 지키기 위해 아주 치열한 물총싸움을 벌이는데요 이 과정에서 플라잉 퍼포먼스와 기계군단 퍼포먼스가 펼쳐집니다 또 워터케논과 워터커튼 워터레이저 등으로 시원한 물바람 맞을 준비하셔야겠고요 저녁까지 이어지는 축제에 들이 함께해 지루할 틈 없이 신나는 음악과 함께 물총놀이를 즐기실 수 있습니다 특히 올해는 에어바운스 워터슬라이드 등으로 꾸며진 키즈존에서 아이들도 더 즐겁게 축제에 참여할 수 있습니다 축제는 내일까지 이어집니다 입장제한 없이 누구나 무료로 참여가 가능하지만 탈의실과 물품보관소 이용은 따로 이용권을 예매해야 하니까 참고하시기 바랍니다 여름에는 역시 물총축제죠 이 추억도 되새기고 시원함까지 빵야빵야 날려버리시기를 바랍니다 지금까지 신촌 연세로에서 유해인입니다 기사문의 및 제보 카톡 라인 네이버 채널 구독 생방송 시청 대한민국 뉴스의 시작 앱 다운받기"
"27"," 서울 최재구 기자 본격적인 더위가 시작된다는 소서 小暑 인 일 서울 광화문 광장을 부모와 함께 나들이 온 광장 분수대에서 물놀이를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"28"," 서울 최재구 기자 맑은 하늘이 드러나며 강한 햇볕이 도심을 달군 일 서울 광화문 광장을 부모와 함께 찾은 어린이들이 광장 분수대에서 물놀이를 즐기고 있다 러시아 월드컵의 모든 것 뉴스가 보여요 유튜브 기사제보 및 문의 "
"29"," 전남 신안에서 항만에 접안하던 여객선이 선착장에 부딪혀 승객 수십 명이 중경상을 입는 사고가 발생했다 에 따르면 일 오전 시쯤 전남 신안 팔금도 고산 선착장에 입항하던 급 여객선 ㄱ호가 선착장 부두 시설과 충돌했다 여객선 위 사진은 기사 내용과 직접적인 관련이 없음 게티이미지 코리아사고 충격으로 ㄱ호에 탄 채 하선 대기 중이던 승객 명이 배 안에서 넘어지면서 크고 작은 상처를 입었다 신고를 받고 출동한 해경은 부상자 중 경상자 명을 팔금도로 옮겨 치료하고 나머지 부상자 명을 목포와 광주로 이송했다 ㄱ호는 승객과 선원 등 명과 차량 대를 싣고 이날 오전 시 분쯤 송공항을 출발해 고산 선착장에 도착했다 사고는 부두 접안과정에서 ㄱ호 램프와 부두 선착장 설비가 충돌하면서 사고가 발생한 것으로 알려졌다 해경은 정확한 사고원인을 조사 중이다 스포츠경향 인기 무료만화 보기 지금 옆사람이 보고있는 뉴스 스포츠경향 무단전재 및 재배포 금지 "
"30"," 날씨 절기 소서 공기 깨끗 내일 제주 장맛비 앵커 주말인 오늘 하늘도 맑고 또 미세먼지도 없는 쾌적한 날씨를 보이고 있습니다 자세한 날씨는 기상캐스터 연결해서 알아보겠습니다 김지은 캐스터 캐스터 네 여의도 물빛광장에 나와 있습니다 벌써 절기는 본격 더위를 알리는 소서에 들어섰지만 선선한 바람이 어찌나 쾌적한지 봄이나 가을을 더 연상케하죠 오늘 맑은 하늘에 볕은 좀 뜨겁지만 습도가 낮아서 그리고 선선한 바람이 불어져서 활동하기는 더없이 좋은 날씨를 보이고 있습니다 깨끗하고 선선한 동풍이 불어줘서 그렇습니다 지금 동풍이 산맥을 넘으면서 습기를 떨어뜨리고 또 건조한 상태로 들어오고 있습니다 다만 동풍을 정통으로 맞는 동쪽지방은 대부분 도 안팎까지 떨어져서 좀 서늘할 정도고요 하늘에 구름이 많은 가운데 비도 오락가락하고 있습니다 또 동해상에서는 거센 물결이 일고 있고 동해안에서는 너울성 파도도 밀려와서 안전사고에는 유의하셔야겠습니다 반면 서쪽 지방은 구름 한 점 없는 아주 맑은 하늘에 기온도 크게 올라 있습니다 현재 시각 서울이 도 전주 도로 대부분 도 안팎까지 오르겠습니다 습도도 낮아서 큰 더위는 없지만 볕이 뜨거워서 강한 자외선은 조심해야겠습니다 일요일 내일은 오늘과 다르게 흐려지겠고 장마전선이 북상하겠습니다 오후부터 제주도에 장맛비가 내리겠고 월요일에는 영남을 제외한 전국에 비가 내리겠습니다 한편 태풍 마리아는 현재 매우 강한 중형급으로 오키나와 동남쪽 부근해상에 있습니다 다음 주 중반에 중국 남단에 상륙할 전망인데 아직 진로는 유동적이어서 상황은 더 지켜봐야겠습니다 지금까지 여의도 물빛광장에서 전해 드렸습니다 김지은 기상캐스터 기사문의 및 제보 카톡 라인 네이버 채널 구독 생방송 시청 대한민국 뉴스의 시작 앱 다운받기"
"31"," 강릉시 옥계면 현내리 고욤나무 아시아경제 이종길 기자 강원도 강릉시 옥계면 현내리를 년간 지켜온 고욤나무가 일 천연기념물로 지정 예고됐다 높이 가슴높이 둘레 지표 부분 둘레 의 노거수다 주위에는 토지와 마을을 수호화는 서낭신을 모신 서낭당이 있다 이곳 마을 주민들은 고욤나무를 서낭당 신목 神木 으로 여겨 정월대보름과 음력 동지에 안녕을 기원하는 서낭제를 지낸다 감나무과 낙엽 활엽수인 고욤나무는 감나무를 접붙일 때 사용하는 대목 臺木 이다 감이 제사상에 올리는 전통 과실이어서 고욤나무도 중요하게 인식됐다 문화재청은 규모 면에서 희귀하고 고유한 형태를 잘 유지하고 있어서 학술 가치가 높을 뿐만 아니라 민속적 역사적 가치도 있다 주변에 높은 건물이나 조형물이 없어 경관 측면에서도 중요하다 고 설명했다 예고 기간 일 동안 각계 의견을 수렴한 뒤 문화재위원회 심의를 거쳐 천연기념물 지정 여부를 결정할 방침이다 앞서 천연기념물로 지정된 충북 보은 용곡리의 고욤나무 제 호 도 수령은 년으로 추정된다 높이도 로 비슷하다 이종길 기자 네이버 채널 설정하고 룰렛 당첨 확인 양낙규의 군사이야기 재미와 신기 과학을읽다 "
"32"," 일 오전 시 분쯤 전북 김제시 만경면 몽산리에 있는 두부 생산공장에서 불이 나 억 만원 소방서 추정 의 재산 피해를 내고 여 분 만에 진화됐다 에 따르면 공장 인근에 사는 주민이 연기와 불꽃이 나는 것을 보고 에 신고했다 공장 절반가량 과 기계 설비 등이 탔으나 다행히 인명피해는 없었다 공장 화재 위 사진은 기사 내용과 직접적인 관련이 없음 게티이미지 코리아경찰은 전기설비에 이상이 생겨 불이 난 것이 아닌가 보고 정확한 화재 원인을 조사하고 있다 스포츠경향 인기 무료만화 보기 지금 옆사람이 보고있는 뉴스 스포츠경향 무단전재 및 재배포 금지 "
